||Xegwi_(n=3),-0.63285633,0.060931667,0.021747333,0.024332667,-0.00092333333,0.0059493333,0.10011467,-0.072612333,-0.013430333,0.016340667,0.004547,-0.025527333,-0.012140667,0.0041286667,-0.00063366667,-0.0075576667,0.0048243333,0.13124967,-0.045502667,0.003335,-0.014308333,-0.0042453333,0.003081,-0.001687,-0.0011973333
|Gui-G||ana_(n=34),-0.60637594,0.060991471,0.018323618,0.0214795,0.0016473235,-0.00038552941,0.18401338,-0.14119094,0.015610029,0.0047541765,0.0043750294,-0.044148971,-0.017839324,0.0049908529,0.012486206,-0.016967529,0.023488382,0.21037762,-0.068864059,0.00078717647,-0.025712,-0.0017128824,0.0037988824,-0.0027110882,-0.0019229706
|Gui-G||ana_o1_(n=3),-0.608195,0.060254667,0.017599,0.024332667,0.0011283333,-0.000465,0.226942,-0.17537733,0.025429333,0.00078966667,0.0048173333,-0.052303667,-0.020168333,0.006331,0.018955667,-0.021391,0.029988333,0.25971133,-0.086145,-0.001084,-0.029281667,-0.003091,0.006532,-0.006788,-0.0013573333
|Gui-G||ana_o2_(n=3),-0.62602733,0.062286,0.018730333,0.023148333,0.000718,0.005206,0.12956933,-0.097919,-0.00068166667,0.011359333,0.002977,-0.031572,-0.016848,0.0038993333,0.004162,-0.0015026667,0.011387,0.15667133,-0.054595,0.002543,-0.016637333,-0.005276,0.0055873333,-0.0018876667,-0.000918
|Gui-G||ana_o3_(n=6),-0.62849333,0.063301167,0.018918667,0.019810667,0.0021028333,0.0063678333,0.10536317,-0.073881333,-0.0056245,0.0098711667,0.0013803333,-0.022455,-0.017269667,0.0034406667,-0.0019906667,-0.0019225,0.00791,0.13127067,-0.046235833,0.0020216667,-0.014932,-0.0008655,0.0048681667,-0.00243,-0.00033916667
|Gui-G||ana_o4_(n=4),-0.63171825,0.06118575,0.023287,0.02059125,-0.001,0.00885475,0.06315925,-0.0400945,-0.0173845,0.01280225,0.0006085,-0.0158855,-0.01364,0.0031655,-0.00420725,0.004011,0.000489,0.09362275,-0.03371825,0.0060655,-0.00549025,-0.00136,0.00459125,0.00069275,0.00050875
|Gui-G||ana_o5_(n=1),-0.623751,0.062963,0.021873,0.017442,-0.003693,0.005857,0.035487,-0.019845,-0.011453,0.015672,0.002436,-0.012739,-0.011596,0.007569,-0.003529,0.000398,-0.001565,0.066005,-0.022626,0,-0.005116,-0.000247,0.003451,-0.001928,0.00467
Abazin_(n=8),0.1079895,0.07553,-0.023145625,-0.017563125,-0.032313625,0.0003835,0.008166625,-0.003115125,-0.04990375,-0.022278375,-0.00158325,0.0053015,-0.017913625,0.003784625,0.00108575,-0.011402625,0.00857275,-0.003753125,-0.006740625,0.0197125,0.009031,0.00064925,-0.001186125,-0.0064315,-0.002604375
Abdal_(n=2),0.0921965,0.101553,-0.0456315,-0.030039,-0.019542,-0.0126895,0.001175,-0.0036925,-0.0049085,0.0066515,0,-0.001049,0.0015605,0.00172,-0.0073965,0.0055025,0.0068455,0.007918,0.001948,-0.0038145,-0.003993,-0.002535,-0.0043135,-0.0066875,-0.0020355
Abkhazian_(n=11),0.10895991,0.11761682,-0.050088364,-0.041608273,-0.040287091,-0.0062623636,0.011836182,-0.0054121818,-0.061394455,-0.022315364,-0.0012843636,0.010694909,-0.024839909,0.0031778182,0.0036891818,-0.021817,0.012078273,-0.0049638182,-0.011415636,0.021396545,0.013963818,0.0023381818,0.0034172727,-0.0076679091,-0.0034726364
Achang_Yunnan_(low_res)_(n=65),0.015234769,-0.43197494,-0.018101785,-0.045935569,0.066199262,0.030201723,0.0024838769,0.00062129231,-0.0048676923,0.0033335077,-0.047597338,-0.0063612923,0.0059120615,-0.0047596308,-0.0084773231,-0.0046406769,0.0020199538,-0.00093941538,-0.002773,0.00028475385,0.00035898462,0.021759062,0.0083030308,0.0025804615,0.032566308
Adiyan_Kerala_(n=3),0.0045526667,-0.162823,-0.18566933,0.13716833,-0.052215,0.053454,-0.0038383333,0.014768667,0.085695667,0.053213,0.0045466667,0.0037966667,-0.0020316667,0.011835667,-0.023524667,-0.023954667,0.014385333,0.00097133333,-0.0031423333,0.027179667,0.011937,0.012654,-0.011626333,0.009439,-0.004351
Aeta_(n=2),-0.016504,-0.3330935,-0.0923945,0.033269,0.104173,-0.006554,0.00235,-0.0139605,0.004704,0.001458,0.0424645,0.0019485,-0.00721,0.001858,0.004682,0.0000665,0.0086705,0.007158,0.00088,0.003189,0.003369,-0.0179295,-0.006039,-0.0074705,-0.0543665
Afar_Ethiopia_(n=8),-0.229069,0.10104487,-0.03092375,-0.077964125,0.0001155,-0.03601175,-0.016744625,0.0012115,0.10520188,-0.0648305,-0.0000405,-0.01189575,0.017728,-0.00158275,0.020358125,-0.010822625,0.009681,-0.000602,0.009741625,0.001954125,0.003774375,0.0075735,-0.0024805,0.004096875,-0.004894625
African_American_(n=115),-0.46653447,0.07174422,0.02837571,0.02170154,0.0079426347,0.012360964,-0.025233478,0.025653559,-0.030308311,0.022502832,0.0033433515,0.00017348523,0.0092071933,-0.0018378297,0.0092036162,-0.0028964323,0.0014262249,0.0018497279,0.0012380715,0.0003882054,0.00060421627,0.0014125319,-0.00046174783,0.0019243694,0.000067099968
Afrikaner_(n=66),0.11511652,0.12954153,0.051619818,0.038280394,0.037801864,0.014569939,0.0036923485,0.0061500758,0.0061109848,0.0051605606,-0.0040695606,0.0039533182,-0.0088678636,-0.0079612879,0.01392997,0.0056550758,-0.0029317121,0.0027314697,0.0022987879,0.0030525606,0.0036639242,0.0031756364,0.00015875758,0.010832,0.000070787879
Afrikaner_o_(n=7),0.084554,0.11228857,0.042884,0.036314429,0.034643714,0.014940571,0.0071844286,0.0024395714,0.0087654286,0.009216,-0.0050804286,0.0028047143,-0.0088345714,-0.0052101429,0.011962857,0.0034661429,-0.0024214286,0.0073117143,0.0037888571,0.0036624286,0.0038322857,0.0039922857,-0.00068671429,0.011671,0.000034285714
