beggecuk,0.100164,0.061947,-0.03017,-0.037145,-0.030467,-0.010877,0.00282,-0.000231,-0.020657,-0.00492,-0.006008,0.001798,-0.010406,0.005643,0.001629,0.002387,-0.001043,0.003421,0.003017,-0.003126,0.00574,0.004946,-0.002588,0.001807,0.008382
adobe,0.09675,0.108662,-0.053551,-0.042959,-0.029852,-0.015339,-0.000235,-0.007615,-0.027815,-0.004009,0.001299,0.006444,-0.001784,0.003853,0.002307,-0.012066,-0.009127,-0.004307,0.008547,-0.003752,0.001747,-0.002844,-0.000493,-0.000723,-0.000479
vubia,0.127482,0.131003,0.047894,0.026809,0.030775,0.01506,0.00705,0.006692,-0.003681,-0.004374,-0.005196,0.00015,-0.001635,0.019818,-0.011672,-0.014717,-0.004955,-0.002154,0.009553,-0.006878,-0.006613,-0.004204,0.007272,-0.003012,-0.006227
philbert,0.103579,0.117801,-0.050911,-0.054587,-0.035391,-0.017291,0.012221,-0.002769,-0.034974,0.003098,0.000812,0.006594,-0.005798,0.000138,-0.010858,-0.001856,0.029467,-0.007348,-0.00176,0.005002,0.005241,0.000124,-0.00037,0.002892,-0.000239
andarkan,0.093335,0.080227,-0.027153,-0.040375,-0.020311,-0.010598,0.000705,0.004846,-0.005931,0.004556,0.005521,-0.007044,-0.005054,0.006331,-0.002579,-0.007027,-0.008736,0.002407,0.002263,-0.003502,-0.005116,0.00136,0.001356,0.003133,0.003592
toruga,0.084229,0.059916,-0.023381,-0.039406,-0.02739,-0.016455,0.00376,-0.004615,-0.019225,0.001093,-0.002598,-0.001649,0.002825,0.004129,-0.004614,0.000928,-0.004694,-0.001394,0.009679,-0.004752,-0.001373,0.005193,0.002218,-0.006868,0.001437
v,0.099026,0.099522,-0.042992,-0.037791,-0.033545,-0.012271,0.00423,-0.008307,-0.029042,-0.011116,0.003735,-0.006894,0.002825,-0.006744,0.002714,0.01843,0.009648,-0.002787,-0.001006,0.0005,-0.01123,0.004451,-0.001972,0.003253,-0.000359
margo,0.110408,0.099522,-0.023004,-0.040375,-0.01908,-0.014502,0.004935,-0.000462,-0.015339,0.00328,-0.007957,0.003297,-0.00223,0.001789,-0.010043,0.005701,0.025425,-0.003041,0.000126,0.003877,-0.005865,0.003339,0.007888,0.007953,-0.001916
yamur,0.09675,0.090382,-0.04186,-0.04199,-0.032929,-0.007809,-0.000235,-0.005307,-0.027611,-0.007836,-0.008119,-0.003147,-0.00773,-0.003441,-0.001221,0.003845,0.004433,-0.000887,0.002388,-0.002126,0.000499,-0.002226,-0.006779,-0.000964,0.003592
hzirem,0.09675,0.084289,-0.012068,-0.037145,-0.018465,-0.010319,0.007285,0.003923,-0.014317,-0.003462,0,-0.002847,-0.00446,0.009496,-0.008958,-0.012596,-0.008345,0.000887,0.002011,-0.00025,-0.004866,-0.002968,-0.00037,-0.005784,0.009101
zibel,0.10927,0.094444,-0.00264,-0.022287,-0.00277,-0.004183,0,-0.002308,-0.007363,0.004191,-0.008769,0.004346,0.003271,0.006744,-0.005565,-0.004243,0.002608,0.004814,-0.000251,-0.003502,-0.006988,0.00507,0.004683,0.008435,-0.002994
bobrose,0.088782,0.125926,-0.057699,-0.049419,-0.039392,-0.006136,-0.00423,-0.010153,-0.033337,0,0.003573,0.001499,-0.000297,-0.001651,0.003529,0.013789,0.004303,0.010262,-0.000754,-0.015132,-0.000125,-0.002968,-0.002958,-0.001928,0.005149
alozan,0.106994,0.113739,-0.036204,-0.056202,-0.023081,-0.013108,0.007755,-0.000231,-0.039064,0,0.005034,0.008243,-0.012339,0.000826,-0.004207,-0.009546,-0.001173,-0.002407,-0.007416,-0.002626,0.000125,0.007543,-0.010106,-0.002289,0.001916
ajxyl,0.094473,0.034528,-0.020742,-0.041021,-0.037238,-0.016455,0.012926,-0.000923,-0.034565,-0.005285,-0.002111,0.000899,-0.009514,0.001239,-0.002036,-0.010077,-0.005476,-0.005194,0.004777,0.00025,-0.006988,-0.003339,-0.007518,-0.003494,0.000958
qayiran,0.106994,0.098506,-0.027153,-0.036176,-0.020004,-0.006972,0.0094,-0.003923,-0.016566,-0.000729,-0.002111,0.008992,0.001933,0.007432,-0.011808,-0.009149,0.005867,-0.00038,0.00264,-0.002501,-0.004866,0.000742,0.000986,0.00976,-0.001796
marul,0.099026,0.057885,-0.021873,-0.040052,-0.028621,-0.013387,0.00282,-0.002538,-0.018612,-0.006378,0.001461,0.00045,-0.001189,-0.004542,-0.0038,0.00769,0.013821,0.000127,0.00264,0.005002,-0.008859,-0.004946,-0.002835,0.004458,0.001437
